SKU,MMDDYYYY,SumOfNET_QTY,Type,Part Type
35120M70F30,01-10-2007,38,"Low Volume, Erratic",valve
35120M70F30,01-11-2007,15,"Low Volume, Erratic",valve
35120M70F30,01-12-2007,23,"Low Volume, Erratic",valve
35120M70F30,01-01-2008,14,"Low Volume, Erratic",valve
35120M70F30,01-02-2008,20,"Low Volume, Erratic",valve
35120M70F30,01-03-2008,6,"Low Volume, Erratic",valve
35120M70F30,01-04-2008,23,"Low Volume, Erratic",valve
35120M70F30,01-05-2008,5,"Low Volume, Erratic",valve
35120M70F30,01-06-2008,18,"Low Volume, Erratic",valve
35120M70F30,01-07-2008,7,"Low Volume, Erratic",valve
35120M70F30,01-08-2008,18,"Low Volume, Erratic",valve
35120M70F30,01-09-2008,10,"Low Volume, Erratic",valve
35120M70F30,01-10-2008,16,"Low Volume, Erratic",valve
35120M70F30,01-11-2008,20,"Low Volume, Erratic",valve
35120M70F30,01-12-2008,14,"Low Volume, Erratic",valve
35120M70F30,01-01-2009,28,"Low Volume, Erratic",valve
35120M70F30,01-02-2009,5,"Low Volume, Erratic",valve
35120M70F30,01-03-2009,6,"Low Volume, Erratic",valve
35120M70F30,01-04-2009,22,"Low Volume, Erratic",valve
35120M70F30,01-05-2009,15,"Low Volume, Erratic",valve
35120M70F30,01-07-2009,22,"Low Volume, Erratic",valve
35120M70F30,01-09-2009,14,"Low Volume, Erratic",valve
35120M70F30,01-11-2009,2,"Low Volume, Erratic",valve
35120M70F30,01-12-2009,5,"Low Volume, Erratic",valve
35120M70F30,01-01-2010,26,"Low Volume, Erratic",valve
35120M70F30,01-02-2010,17,"Low Volume, Erratic",valve
35120M70F30,01-03-2010,7,"Low Volume, Erratic",valve
57300M74F00,01-04-2006,590,Trend,Body part
57300M74F00,01-05-2006,607,Trend,Body part
57300M74F00,01-06-2006,566,Trend,Body part
57300M74F00,01-07-2006,526,Trend,Body part
57300M74F00,01-08-2006,581,Trend,Body part
57300M74F00,01-09-2006,489,Trend,Body part
57300M74F00,01-10-2006,525,Trend,Body part
57300M74F00,01-11-2006,513,Trend,Body part
57300M74F00,01-12-2006,493,Trend,Body part
57300M74F00,01-01-2007,538,Trend,Body part
57300M74F00,01-02-2007,499,Trend,Body part
57300M74F00,01-03-2007,430,Trend,Body part
57300M74F00,01-04-2007,448,Trend,Body part
57300M74F00,01-05-2007,541,Trend,Body part
57300M74F00,01-06-2007,506,Trend,Body part
57300M74F00,01-07-2007,457,Trend,Body part
57300M74F00,01-08-2007,381,Trend,Body part
57300M74F00,01-09-2007,398,Trend,Body part
57300M74F00,01-10-2007,428,Trend,Body part
57300M74F00,01-11-2007,421,Trend,Body part
57300M74F00,01-12-2007,434,Trend,Body part
57300M74F00,01-01-2008,484,Trend,Body part
57300M74F00,01-02-2008,360,Trend,Body part
57300M74F00,01-03-2008,333,Trend,Body part
57300M74F00,01-04-2008,359,Trend,Body part
57300M74F00,01-05-2008,436,Trend,Body part
57300M74F00,01-06-2008,405,Trend,Body part
57300M74F00,01-07-2008,345,Trend,Body part
57300M74F00,01-08-2008,354,Trend,Body part
57300M74F00,01-09-2008,307,Trend,Body part
57300M74F00,01-10-2008,277,Trend,Body part
57300M74F00,01-11-2008,328,Trend,Body part
57300M74F00,01-12-2008,316,Trend,Body part
57300M74F00,01-01-2009,332,Trend,Body part
57300M74F00,01-02-2009,275,Trend,Body part
57300M74F00,01-03-2009,239,Trend,Body part
57300M74F00,01-04-2009,287,Trend,Body part
57300M74F00,01-05-2009,296,Trend,Body part
57300M74F00,01-06-2009,288,Trend,Body part
57300M74F00,01-07-2009,276,Trend,Body part
57300M74F00,01-08-2009,259,Trend,Body part
57300M74F00,01-09-2009,225,Trend,Body part
57300M74F00,01-10-2009,270,Trend,Body part
57300M74F00,01-11-2009,225,Trend,Body part
57300M74F00,01-12-2009,260,Trend,Body part
57300M74F00,01-01-2010,235,Trend,Body part
57300M74F00,01-02-2010,213,Trend,Body part
57300M74F00,01-03-2010,207,Trend,Body part
3834-M944A1,01-04-2006,1,Intermittent,Body part
3834-M944A1,01-05-2006,2,Seasonal,Body part
3834-M944A1,01-06-2006,0,Seasonal,Body part
3834-M944A1,01-07-2006,2,Seasonal,Body part
3834-M944A1,01-08-2006,1,Seasonal,Body part
3834-M944A1,01-09-2006,2,Seasonal,Body part
3834-M944A1,01-10-2006,1,Seasonal,Body part
3834-M944A1,01-11-2006,3,Seasonal,Body part
3834-M944A1,01-12-2006,3,Seasonal,Body part
3834-M944A1,01-01-2007,0,Seasonal,Body part
3834-M944A1,01-02-2007,0,Seasonal,Body part
3834-M944A1,01-03-2007,0,Seasonal,Body part
3834-M944A1,01-04-2007,0,Seasonal,Body part
3834-M944A1,01-05-2007,1,Seasonal,Body part
3834-M944A1,01-06-2007,0,Seasonal,Body part
3834-M944A1,01-07-2007,0,Seasonal,Body part
3834-M944A1,01-08-2007,1,Seasonal,Body part
3834-M944A1,01-09-2007,2,Seasonal,Body part
3834-M944A1,01-10-2007,3,Seasonal,Body part
3834-M944A1,01-11-2007,3,Seasonal,Body part
3834-M944A1,01-12-2007,2,Seasonal,Body part
3834-M944A1,01-01-2008,3,Seasonal,Body part
3834-M944A1,01-02-2008,0,Seasonal,Body part
3834-M944A1,01-03-2008,2,Seasonal,Body part
3834-M944A1,01-04-2008,2,Seasonal,Body part
3834-M944A1,01-05-2008,1,Seasonal,Body part
3834-M944A1,01-06-2008,1,Seasonal,Body part
3834-M944A1,01-07-2008,1,Seasonal,Body part
3834-M944A1,01-08-2008,0,Seasonal,Body part
3834-M944A1,01-09-2008,3,Seasonal,Body part
3834-M944A1,01-10-2008,0,Seasonal,Body part
3834-M944A1,01-11-2008,3,Seasonal,Body part
3834-M944A1,01-12-2008,1,Seasonal,Body part
3834-M944A1,01-01-2009,1,Seasonal,Body part
3834-M944A1,01-02-2009,2,Seasonal,Body part
3834-M944A1,01-03-2009,2,Seasonal,Body part
3834-M944A1,01-04-2009,0,Seasonal,Body part
3834-M944A1,01-05-2009,1,Seasonal,Body part
3834-M944A1,01-06-2009,0,Seasonal,Body part
3834-M944A1,01-07-2009,3,Seasonal,Body part
3834-M944A1,01-08-2009,0,Seasonal,Body part
3834-M944A1,01-09-2009,1,Seasonal,Body part
3834-M944A1,01-10-2009,1,Seasonal,Body part
3834-M944A1,01-11-2009,1,Seasonal,Body part
3834-M944A1,01-12-2009,0,Seasonal,Body part
3834-M944A1,01-01-2010,1,Seasonal,Body part
3834-M944A1,01-02-2010,1,Seasonal,Body part
3834-M944A1,01-03-2010,3,Seasonal,Body part
99000M99503-SIL,01-04-2006,493,High growth,Accessories
99000M99503-SIL,01-05-2006,434,High growth,Accessories
99000M99503-SIL,01-06-2006,669,High growth,Accessories
99000M99503-SIL,01-07-2006,497,High growth,Accessories
99000M99503-SIL,01-08-2006,503,High growth,Accessories
99000M99503-SIL,01-09-2006,614,High growth,Accessories
99000M99503-SIL,01-10-2006,1322,High growth,Accessories
99000M99503-SIL,01-11-2006,344,High growth,Accessories
99000M99503-SIL,01-12-2006,368,High growth,Accessories
99000M99503-SIL,01-01-2007,501,High growth,Accessories
99000M99503-SIL,01-02-2007,653,High growth,Accessories
99000M99503-SIL,01-03-2007,844,High growth,Accessories
99000M99503-SIL,01-04-2007,475,High growth,Accessories
99000M99503-SIL,01-05-2007,644,High growth,Accessories
99000M99503-SIL,01-06-2007,699,High growth,Accessories
99000M99503-SIL,01-07-2007,561,High growth,Accessories
99000M99503-SIL,01-08-2007,713,High growth,Accessories
99000M99503-SIL,01-09-2007,640,High growth,Accessories
99000M99503-SIL,01-10-2007,722,High growth,Accessories
99000M99503-SIL,01-11-2007,479,High growth,Accessories
99000M99503-SIL,01-12-2007,665,High growth,Accessories
99000M99503-SIL,01-01-2008,1063,High growth,Accessories
99000M99503-SIL,01-02-2008,781,High growth,Accessories
99000M99503-SIL,01-03-2008,1845,High growth,Accessories
99000M99503-SIL,01-04-2008,678,High growth,Accessories
99000M99503-SIL,01-05-2008,1106,High growth,Accessories
99000M99503-SIL,01-06-2008,1212,High growth,Accessories
99000M99503-SIL,01-07-2008,761,High growth,Accessories
99000M99503-SIL,01-08-2008,904,High growth,Accessories
99000M99503-SIL,01-09-2008,1272,High growth,Accessories
99000M99503-SIL,01-10-2008,1068,High growth,Accessories
99000M99503-SIL,01-11-2008,1007,High growth,Accessories
99000M99503-SIL,01-12-2008,986,High growth,Accessories
99000M99503-SIL,01-01-2009,1108,High growth,Accessories
99000M99503-SIL,01-02-2009,1656,High growth,Accessories
99000M99503-SIL,01-03-2009,1717,High growth,Accessories
99000M99503-SIL,01-04-2009,1336,High growth,Accessories
99000M99503-SIL,01-05-2009,1825,High growth,Accessories
99000M99503-SIL,01-06-2009,1403,High growth,Accessories
99000M99503-SIL,01-07-2009,1231,High growth,Accessories
99000M99503-SIL,01-08-2009,1383,High growth,Accessories
99000M99503-SIL,01-09-2009,1789,High growth,Accessories
99000M99503-SIL,01-10-2009,1441,High growth,Accessories
99000M99503-SIL,01-11-2009,1580,High growth,Accessories
99000M99503-SIL,01-12-2009,2224,High growth,Accessories
99000M99503-SIL,01-01-2010,2330,High growth,Accessories
99000M99503-SIL,01-02-2010,2828,High growth,Accessories
99000M99503-SIL,01-03-2010,2933,High growth,Accessories
990J0M75JD3-020,01-05-2009,1952,Short Life cycle,Accessories
990J0M75JD3-020,01-06-2009,1080,Short Life cycle,Accessories
990J0M75JD3-020,01-07-2009,948,Short Life cycle,Accessories
990J0M75JD3-020,01-08-2009,1572,Short Life cycle,Accessories
990J0M75JD3-020,01-09-2009,2640,Short Life cycle,Accessories
990J0M75JD3-020,01-10-2009,2732,Short Life cycle,Accessories
990J0M75JD3-020,01-11-2009,1412,Short Life cycle,Accessories
990J0M75JD3-020,01-12-2009,1440,Short Life cycle,Accessories
990J0M75JD3-020,01-01-2010,3556,Short Life cycle,Accessories
990J0M75JD3-020,01-02-2010,5040,Short Life cycle,Accessories
990J0M75JD3-020,01-03-2010,7898,Short Life cycle,Accessories
